id_publicacao,data_publicacao,tema,formato,alcance,curtidas,comentarios,compartilhamentos,salvamentos,seguidores_autor,videos_autor,duracao_segundos,tamanho_legenda,n_emojis,n_hashtags,hora,dia_semana,taxa_engajamento_pct
OCB-026,2026-07-17 23:20:00,trabalho,reel,30117,936,133,303,225,32430,530,31,210,1,5,23,4,5.3
OCB-027,2026-07-18 07:50:00,cultura,carrossel,12452,488,56,149,100,15084,241,0,893,0,2,7,5,6.37
OCB-028,2026-07-18 13:45:00,cultura,reel,89472,5758,938,449,377,34598,530,70,200,4,5,13,5,8.41
OCB-029,2026-07-19 09:00:00,trabalho,reel,48303,1542,274,480,408,21954,488,25,235,4,4,9,6,5.6
OCB-030,2026-07-19 18:15:00,cultura,reel,26913,2089,316,140,141,34156,530,39,88,3,3,18,6,9.98
OCB-031,2026-07-19 19:45:00,trabalho,imagem,8083,172,28,81,63,14916,241,0,315,3,4,19,6,4.26
OCB-032,2026-07-19 20:15:00,cultura,reel,54588,3576,540,400,299,21745,488,71,299,0,5,20,6,8.82
OCB-033,2026-07-19 20:15:00,mobilidade,reel,11674,600,84,171,106,5785,96,39,240,3,1,20,6,8.23
OCB-034,2026-07-20 14:50:00,cultura,reel,78210,4797,595,928,659,33295,530,37,190,2,5,14,0,8.92
OCB-035,2026-07-20 17:00:00,cultura,reel,56283,3770,592,600,425,21992,488,11,581,1,4,17,0,9.57
OCB-036,2026-07-20 18:00:00,cultura,reel,31931,2055,426,185,164,21247,488,36,213,0,6,18,0,8.86
OCB-037,2026-07-21 16:40:00,trabalho,carrossel,7406,60,8,35,26,6027,96,0,244,3,2,16,1,1.74
OCB-038,2026-07-21 20:10:00,trabalho,carrossel,3172,87,14,70,50,6222,96,0,399,0,5,20,1,6.97
OCB-039,2026-07-22 14:15:00,saude,carrossel,51735,1083,163,794,622,49045,612,0,121,0,5,14,2,5.15
OCB-040,2026-07-22 17:00:00,trabalho,imagem,2344,38,5,19,14,3240,64,0,242,5,4,17,2,3.24
OCB-041,2026-07-23 10:40:00,saude,carrossel,11993,198,30,140,120,15582,241,0,244,3,2,10,3,4.07
OCB-042,2026-07-23 18:40:00,trabalho,reel,7611,270,35,123,82,15026,241,53,269,2,2,18,3,6.7
OCB-043,2026-07-23 19:10:00,saude,imagem,27559,578,82,453,360,46177,612,0,95,3,5,19,3,5.34
OCB-044,2026-07-24 14:20:00,trabalho,carrossel,5295,91,14,66,48,3213,64,0,1374,4,9,14,4,4.14
OCB-045,2026-07-24 17:30:00,mobilidade,carrossel,9126,97,12,60,39,9526,173,0,182,0,1,17,4,2.28
OCB-046,2026-07-24 21:40:00,cultura,carrossel,5246,202,33,53,45,15614,241,0,845,0,5,21,4,6.35
OCB-047,2026-07-25 18:45:00,cultura,reel,51537,3047,424,264,278,31709,530,29,231,3,4,18,5,7.79
OCB-048,2026-07-25 21:15:00,cultura,reel,19131,936,143,163,130,15278,241,9,722,0,5,21,5,7.17
OCB-049,2026-07-26 09:20:00,cultura,reel,63877,3975,433,123,108,51276,612,47,175,2,2,9,6,7.26
OCB-050,2026-07-26 18:30:00,cultura,carrossel,1816,96,18,23,19,3327,64,0,388,3,3,18,6,8.59
OCB-051,2026-07-27 10:10:00,trabalho,imagem,8836,56,8,28,23,15483,241,0,178,1,2,10,0,1.3
OCB-052,2026-07-27 20:20:00,mobilidade,reel,69905,3141,527,722,527,48436,612,25,210,0,5,20,0,7.03
OCB-053,2026-07-28 11:20:00,mobilidade,carrossel,13228,272,39,178,131,9326,173,0,268,0,3,11,1,4.69
OCB-054,2026-07-28 17:40:00,trabalho,imagem,47928,468,73,239,222,33612,530,0,293,1,5,17,1,2.09
OCB-055,2026-07-28 19:40:00,cultura,reel,69512,5314,815,328,309,52592,612,30,121,0,5,19,1,9.73
OCB-056,2026-07-29 10:40:00,cultura,reel,26083,1434,228,146,116,21460,488,59,261,0,9,10,2,7.38
OCB-057,2026-07-29 15:45:00,trabalho,imagem,12557,185,31,76,71,9380,173,0,435,2,8,15,2,2.89
OCB-058,2026-07-29 18:45:00,trabalho,imagem,3228,86,10,38,32,6434,96,0,225,0,4,18,2,5.14
OCB-059,2026-07-29 21:15:00,cultura,reel,1755,107,15,16,13,3289,64,58,92,1,3,21,2,8.6
OCB-060,2026-07-30 18:20:00,saude,imagem,6922,165,21,92,80,8851,173,0,312,2,3,18,3,5.17
OCB-061,2026-07-30 21:00:00,trabalho,imagem,32578,531,73,294,210,45837,612,0,263,2,3,21,3,3.4
OCB-062,2026-07-31 16:00:00,mobilidade,carrossel,16335,277,35,134,107,14383,241,0,217,1,2,16,4,3.39
OCB-063,2026-08-01 14:50:00,cultura,reel,67623,4546,683,534,398,49668,612,32,356,1,5,14,5,9.11
OCB-064,2026-08-01 17:45:00,cultura,carrossel,44885,2200,333,333,298,34055,530,0,112,0,5,17,5,7.05
OCB-065,2026-08-03 20:50:00,mobilidade,imagem,14334,283,48,97,74,21260,488,0,238,0,5,20,0,3.5
OCB-066,2026-08-04 13:50:00,cultura,carrossel,23960,1034,164,206,145,49927,612,0,121,0,5,13,1,6.46
OCB-067,2026-08-05 19:10:00,mobilidade,reel,8323,314,31,92,74,9300,173,41,683,1,4,19,2,6.14
OCB-068,2026-08-06 07:40:00,cultura,reel,39118,1917,305,313,203,21223,488,90,526,3,4,7,3,7.0
OCB-069,2026-08-06 08:10:00,cultura,reel,45103,2784,506,254,197,31834,530,29,408,0,7,8,3,8.29
OCB-070,2026-08-06 18:30:00,mobilidade,carrossel,7670,305,39,103,98,16398,241,0,97,2,3,18,3,7.11
OCB-071,2026-08-06 23:00:00,cultura,reel,1548,96,20,16,11,3374,64,7,197,0,3,23,3,9.24
OCB-072,2026-08-08 19:30:00,trabalho,carrossel,18861,293,33,170,153,22202,488,0,213,1,5,19,5,3.44
OCB-073,2026-08-09 10:50:00,mobilidade,reel,29139,1265,114,449,369,14754,241,21,291,1,3,10,6,7.54
OCB-074,2026-08-09 18:20:00,saude,imagem,8484,225,33,93,85,6288,96,0,524,0,6,18,6,5.14
OCB-075,2026-08-09 19:20:00,saude,reel,13792,517,87,288,199,9685,173,47,253,4,4,19,6,7.91
OCB-076,2026-08-10 07:30:00,trabalho,carrossel,15168,269,43,205,122,9310,173,0,356,2,4,7,0,4.21
OCB-077,2026-08-11 16:30:00,cultura,imagem,4425,167,24,28,23,3311,64,0,237,3,3,16,1,5.47
OCB-078,2026-08-11 21:00:00,mobilidade,carrossel,52566,1841,250,824,479,34518,530,0,296,2,4,21,1,6.46
OCB-079,2026-08-12 09:20:00,saude,reel,56585,2177,377,1038,724,31488,530,47,189,1,2,9,2,7.63
OCB-080,2026-08-13 13:20:00,cultura,imagem,38701,1279,169,247,178,34105,530,0,187,1,2,13,3,4.84
OCB-081,2026-08-13 21:15:00,mobilidade,reel,65478,3030,450,443,370,48525,612,31,528,2,5,21,3,6.56
OCB-082,2026-08-14 10:15:00,saude,carrossel,31441,563,88,645,534,31256,530,0,314,0,5,10,4,5.82
OCB-083,2026-08-14 13:15:00,cultura,carrossel,3838,181,24,48,34,3161,64,0,214,5,7,13,4,7.48
OCB-084,2026-08-14 16:40:00,mobilidade,carrossel,31733,529,80,245,220,48846,612,0,304,2,6,16,4,3.38
OCB-085,2026-08-14 18:40:00,saude,reel,48216,1668,181,348,301,20931,488,49,574,1,3,18,4,5.18
OCB-086,2026-08-14 20:30:00,cultura,reel,4502,293,45,45,39,3354,64,18,687,3,3,20,4,9.37
OCB-087,2026-08-15 14:20:00,trabalho,carrossel,6607,113,16,109,76,9034,173,0,331,4,4,14,5,4.75
OCB-088,2026-08-15 18:15:00,saude,carrossel,28061,480,48,501,407,21327,488,0,167,4,2,18,5,5.12
OCB-089,2026-08-15 20:30:00,saude,reel,11800,482,82,226,186,9181,173,41,260,1,9,20,5,8.27
OCB-090,2026-08-17 10:10:00,saude,carrossel,11687,249,39,221,156,9408,173,0,1115,0,6,10,0,5.69
OCB-091,2026-08-17 10:50:00,saude,reel,86764,2915,468,1362,921,34745,530,37,200,6,3,10,0,6.53
OCB-092,2026-08-17 14:30:00,cultura,reel,87582,5730,1136,502,424,46621,612,24,391,2,4,14,0,8.9
OCB-093,2026-08-18 18:45:00,mobilidade,carrossel,14626,308,49,186,150,47379,612,0,614,3,3,18,1,4.74
OCB-094,2026-08-19 15:00:00,cultura,imagem,6613,267,48,51,41,14735,241,0,235,5,4,15,2,6.15
OCB-095,2026-08-19 19:50:00,cultura,reel,10528,876,142,69,54,5844,96,33,554,0,2,19,2,10.84
OCB-096,2026-08-20 10:15:00,cultura,carrossel,21918,906,156,205,167,15515,241,0,355,1,6,10,3,6.54
OCB-097,2026-08-20 16:50:00,saude,imagem,24636,305,54,211,158,47443,612,0,102,1,2,16,3,2.96
OCB-098,2026-08-21 09:15:00,cultura,carrossel,22528,831,141,237,208,45221,612,0,439,3,3,9,4,6.29
OCB-099,2026-08-21 15:50:00,cultura,carrossel,62467,1537,254,343,306,46461,612,0,145,2,11,15,4,3.91
OCB-100,2026-08-21 19:40:00,trabalho,imagem,14595,271,44,159,120,15400,241,0,856,2,4,19,4,4.07
OCB-101,2026-08-21 20:45:00,trabalho,imagem,3573,69,11,41,37,5811,96,0,184,0,8,20,4,4.42
OCB-102,2026-08-21 20:50:00,mobilidade,imagem,27064,601,96,303,234,21002,488,0,808,0,4,20,4,4.56
OCB-103,2026-08-22 13:10:00,saude,reel,4306,180,27,80,56,3305,64,35,511,0,7,13,5,7.97
OCB-104,2026-08-23 11:00:00,saude,carrossel,10144,208,35,175,137,6156,96,0,279,0,0,11,6,5.47
OCB-105,2026-08-23 11:15:00,cultura,carrossel,1386,69,11,20,18,3209,64,0,163,1,3,11,6,8.51
OCB-106,2026-08-23 14:00:00,cultura,carrossel,1446,68,12,24,17,3286,64,0,117,1,8,14,6,8.37
OCB-107,2026-08-24 13:00:00,mobilidade,carrossel,2381,93,15,29,20,3458,64,0,174,4,1,13,0,6.59
OCB-108,2026-08-24 15:40:00,mobilidade,reel,88071,2949,477,855,606,49106,612,52,250,4,5,15,0,5.55
OCB-109,2026-08-24 19:10:00,cultura,reel,34894,2274,373,275,143,15096,241,49,264,0,5,19,0,8.78
OCB-110,2026-08-24 21:40:00,saude,reel,31212,1229,178,670,496,15187,241,28,168,6,3,21,0,8.24
OCB-111,2026-08-25 07:00:00,saude,carrossel,9765,208,22,214,222,9777,173,0,318,1,2,7,1,6.82
OCB-112,2026-08-25 09:50:00,saude,carrossel,4831,102,13,76,75,3233,64,0,127,1,6,9,1,5.51
OCB-113,2026-08-26 09:45:00,trabalho,imagem,15598,179,27,106,79,15691,241,0,474,1,3,9,2,2.51
OCB-114,2026-08-26 19:10:00,cultura,imagem,17955,605,121,66,56,33845,530,0,223,1,5,19,2,4.72
OCB-115,2026-08-27 12:15:00,mobilidade,reel,68994,3107,434,1018,842,33615,530,38,554,3,3,12,3,7.83
OCB-116,2026-08-28 06:40:00,cultura,reel,121217,7544,969,1108,807,47374,612,8,158,0,6,6,4,8.6
OCB-117,2026-08-29 11:40:00,trabalho,reel,22736,948,178,362,283,15338,241,12,456,0,4,11,5,7.79
OCB-118,2026-08-29 19:45:00,cultura,carrossel,33324,1506,354,445,369,20739,488,0,192,2,7,19,5,8.02
OCB-119,2026-08-30 09:15:00,cultura,reel,25158,1641,311,253,197,34410,530,53,259,4,4,9,6,9.55
OCB-120,2026-08-30 20:20:00,cultura,imagem,41207,2437,440,416,318,35421,530,0,124,2,1,20,6,8.76
